val,ind0,ind1,ind2
0.53264,0.53267,0.53255,0.53264
0.53256,0.53265,0.53249,0.53264
0.53255,0.53259,0.5325,0.53257
0.53258,0.5326,0.53255,0.53255
0.53256,0.5326,0.53256,0.53258
0.53261,0.53265,0.53256,0.53256
0.53261,0.53265,0.53261,0.53262
0.53269,0.53269,0.53261,0.53261
0.53284,0.53284,0.53267,0.5327
0.53282,0.53285,0.5328,0.53283
0.53274,0.53283,0.53274,0.53283
0.53281,0.53282,0.5327,0.53274
0.53282,0.53285,0.53276,0.5328
0.53295,0.53302,0.53283,0.53285
0.53296,0.53297,0.53292,0.53296
0.533,0.53301,0.53295,0.53297
0.53305,0.53306,0.533,0.53301
0.53324,0.53326,0.53309,0.53309
0.53317,0.53324,0.53317,0.53324
0.5332,0.53322,0.53315,0.53317
0.53319,0.53326,0.53317,0.53319
0.53315,0.53321,0.53315,0.53319
0.5332,0.53321,0.53314,0.53314
0.53322,0.53327,0.5332,0.53321
0.53312,0.53322,0.53311,0.53321
0.53315,0.53316,0.5331,0.53312
0.53312,0.53317,0.53309,0.53317
0.53296,0.53312,0.53291,0.53312
0.53282,0.53296,0.53277,0.53291
0.533,0.53302,0.5328,0.5328
0.53302,0.53304,0.53298,0.533
0.53304,0.53305,0.53297,0.53302
0.5332,0.53324,0.533,0.53304
0.53322,0.5333,0.53318,0.53319
0.53331,0.53332,0.5332,0.53322
0.53346,0.53357,0.53329,0.53331
0.5336,0.53361,0.5334,0.53347
0.53387,0.53388,0.53361,0.53361
0.53396,0.53402,0.53382,0.53387
0.53384,0.53396,0.53375,0.53396
0.5338,0.53395,0.53375,0.53384
0.53387,0.53391,0.53377,0.53379
0.53377,0.53387,0.53377,0.53387
0.53385,0.5339,0.53375,0.53377
0.53388,0.53392,0.53385,0.53385
0.53391,0.53399,0.53388,0.53389
0.53433,0.53433,0.53391,0.53393
0.53426,0.53433,0.53422,0.53433
0.5343,0.53432,0.53424,0.53427
0.53417,0.53431,0.53417,0.5343
0.53422,0.53423,0.53413,0.53417
0.53418,0.53423,0.53415,0.53422
0.53422,0.53426,0.53417,0.53417
0.5342,0.53424,0.5342,0.53422
0.53434,0.53443,0.5342,0.53424
0.53444,0.53444,0.53435,0.53436
0.53432,0.53446,0.5343,0.53444
0.5345,0.53451,0.53432,0.53432
0.53446,0.53453,0.53446,0.53451
0.5345,0.53455,0.53445,0.53446
0.53449,0.53455,0.53449,0.5345
0.53452,0.53457,0.53449,0.53449
0.53447,0.53453,0.53446,0.53452
0.53442,0.53447,0.53441,0.53447
0.53441,0.53448,0.53439,0.53441
0.53442,0.53452,0.53438,0.53441
0.53435,0.53442,0.53435,0.53442
0.53427,0.53438,0.53426,0.53435
0.53421,0.53427,0.5342,0.53426
0.53412,0.53425,0.53412,0.53421
0.53402,0.53413,0.53402,0.53412
0.53401,0.53407,0.53401,0.53402
0.53407,0.53407,0.53396,0.53401
0.53421,0.53421,0.53406,0.53407
0.53413,0.53421,0.53413,0.53421
0.53421,0.53424,0.53416,0.53416
0.53415,0.53427,0.53415,0.53421
0.53434,0.53434,0.53413,0.53415
0.5345,0.53457,0.5343,0.5343
0.53447,0.53453,0.53446,0.53449
0.53446,0.5345,0.53446,0.53446
0.53451,0.53451,0.53446,0.53446
0.53478,0.5348,0.53458,0.53458
0.53475,0.53478,0.53475,0.53478
0.53475,0.53479,0.53469,0.53475
0.53473,0.53477,0.5347,0.53475
0.53475,0.53476,0.5347,0.53472
0.53473,0.53476,0.53465,0.53476
0.53459,0.53473,0.53459,0.53473
0.53463,0.53466,0.53458,0.5346
0.53463,0.5347,0.53461,0.53463
0.53475,0.53476,0.53459,0.53463
0.53488,0.53492,0.5347,0.53474
0.53502,0.53504,0.53487,0.53489
0.53491,0.53502,0.53491,0.53502
0.53486,0.53491,0.53486,0.53491
0.53491,0.53492,0.53486,0.53486
0.5349,0.53501,0.53488,0.53491
0.53486,0.5349,0.53486,0.5349
0.53489,0.53491,0.53486,0.53487
0.53486,0.53497,0.53486,0.5349
0.53482,0.53488,0.53481,0.53488
0.53481,0.53484,0.53481,0.53481
0.53492,0.53492,0.5348,0.53482
0.53485,0.53493,0.53485,0.53492
0.53481,0.53486,0.53479,0.53485
0.53475,0.53482,0.53474,0.5348
0.53471,0.53481,0.53469,0.53477
0.53474,0.53475,0.53467,0.53471
0.53482,0.53483,0.53473,0.53473
0.53473,0.53482,0.53471,0.53482
0.53473,0.53477,0.53469,0.53473
0.53469,0.53476,0.53469,0.53474
0.53469,0.53473,0.53465,0.53469
0.5347,0.5347,0.53463,0.53469
0.53493,0.53495,0.5347,0.5347
0.5349,0.53497,0.53486,0.53495
0.53482,0.53491,0.53481,0.5349
0.53491,0.53494,0.53478,0.53482
0.53486,0.53496,0.53484,0.53491
0.53474,0.53487,0.53472,0.53487
0.53476,0.5348,0.53472,0.53474
0.53466,0.53476,0.53463,0.53476
0.5347,0.53472,0.53464,0.53467
0.53467,0.5347,0.53464,0.5347
0.5346,0.53469,0.5346,0.53469
0.5346,0.5346,0.53455,0.53459
0.53469,0.53469,0.53454,0.5346
0.53481,0.53483,0.53469,0.53469
0.53474,0.53484,0.53474,0.53481
0.53477,0.5348,0.53473,0.53474
0.53469,0.53479,0.53468,0.53479
0.53469,0.53476,0.53467,0.53468
0.53465,0.53472,0.53465,0.53465
0.5346,0.5347,0.53457,0.53465
0.53457,0.53461,0.53449,0.53459
